time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14
68,1,5.380802621,3.725013206,7.245152201,-1.362704137,2.271548207,7.658957392,1.592991836,5.97720148,6.941397017,3.884592628,7.677801213,4.122389658,2.264170021,4.952308421
69,1,5.478392663,3.757102901,7.026962533,-1.409440374,2.369269453,7.346685314,1.585909371,5.70052342,6.898932409,3.837997398,7.677801213,4.022271559,2.264170021,4.952308421
70,1,5.540681157,3.736561054,7.064241172,-1.421494762,2.22985209,7.155462443,1.447604756,5.729683377,6.753516329,3.779896474,7.701660519,4.022271559,2.113756837,4.952308421
71,1,5.696924897,3.736561054,6.980556624,-1.416338764,1.945741825,6.923323288,1.488676442,5.729683377,6.71113826,3.884592628,7.701660519,4.122389658,2.370567109,5.120382667
72,1,5.799565863,3.549671679,7.10810153,-1.392543178,1.945741825,7.06106826,1.488676442,5.608321997,6.500556211,3.779896474,7.677801213,4.122389658,2.370567109,5.361126443
73,1,5.828874072,3.34774993,7.10810153,-1.392543178,1.990000136,6.773764079,1.621167547,5.608321997,6.333470724,3.841535006,7.971221807,3.744746322,2.63007163,4.952308421
74,1,5.779959014,3.369591824,7.123377746,-1.464466094,1.712753046,6.748948598,1.621167547,5.696969824,6.175239441,3.856648086,7.971221807,3.744746322,2.63007163,5.197021073
75,1,5.673885155,3.369591824,7.064241172,-1.566877197,1.738451469,6.436989927,1.621167547,5.572369195,6.169889274,3.94457065,7.971221807,3.744746322,2.764928696,5.197021073
76,1,5.568268666,3.369591824,7.054066095,-1.530946389,1.31832055,6.77496938,1.512232302,5.914510868,5.950857075,3.637383988,7.701660519,3.744746322,2.764928696,5.197021073
77,1,5.624936393,3.369591824,7.184200367,-1.289559549,1.441202585,6.964346143,1.512232302,6.287137005,5.798564559,3.44294862,7.677801213,3.848005269,2.63007163,5.444282885
78,1,5.812901504,3.614006905,7.115058579,-1.217792417,1.576670522,7.023836541,1.497271187,6.333161595,5.755781776,3.650853954,7.701660519,3.848005269,2.498558108,5.604562575
79,1,5.820447487,3.374386767,6.980556624,-1.079422918,1.511413841,7.076031084,1.448356789,6.333161595,5.713309031,3.555993063,7.408837123,3.744746322,2.498558108,5.604562575
80,1,5.886790741,3.374386767,6.838043071,-1.046094108,1.471596031,6.340891537,1.475304284,6.148652602,5.86547092,3.721681258,7.408837123,3.848005269,2.63007163,5.85050985
81,1,5.828874072,3.411537317,6.838043071,-1.012641321,1.556448324,6.57541011,1.360649524,6.119242027,5.86547092,3.7481431,7.701660519,3.848005269,2.498558108,5.85050985
82,1,5.767581941,3.353768486,6.768102043,-1.221602459,1.414846055,6.686822267,1.453022802,6.115876333,5.908009414,3.703660731,7.701660519,3.848005269,2.498558108,6.012732486
83,1,5.662735814,3.28482421,6.768102043,-1.220539277,1.809555786,6.532989725,1.453022802,6.207587831,5.899759088,3.848005269,7.677801213,3.848005269,2.498558108,6.012732486
84,1,5.656429813,3.146686008,6.713122207,-1.283292084,1.633900159,6.379585805,1.399738377,6.291087557,5.8103976,3.72965697,7.677801213,3.848005269,2.376433061,6.012732486
85,1,5.607400502,3.146686008,6.629654175,-1.246227065,1.700545406,6.280647946,1.293538855,6.136227428,5.721275206,3.996259209,7.408837123,3.848005269,2.376433061,6.180339887
86,1,5.504138161,3.310314229,6.588298331,-1.213974784,1.768591525,6.317193713,1.244864866,6.165377192,5.89709565,4.054672889,7.408837123,3.848005269,2.376433061,6.180339887
87,1,5.403618357,3.310314229,6.569063635,-1.220539277,1.764788292,6.317193713,1.094518561,6.04445162,5.89709565,3.541345045,7.116076426,3.574929257,2.376433061,6.180339887
88,1,5.350663093,3.109142913,6.431898889,-1.392543178,1.646692975,6.390348647,1.094518561,5.780287574,5.720174687,3.61875007,7.116076426,3.690168649,2.376433061,6.180339887
89,1,5.414687933,3.109142913,6.506354495,-1.447529029,1.767312656,6.422765653,1.332837807,5.826309941,5.742499149,3.418395166,7.116076426,3.690168649,2.376433061,6.180339887
90,1,5.357275906,3.022982176,6.406816612,-1.568705882,1.896371401,6.30385142,1.332837807,6.04445162,5.742499149,3.293714936,13.05652409,3.690168649,2.376433061,6.257446594
