time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15,chloroplast16,chloroplast17,chloroplast18
17,1,5.18090317,10.87922839,4.113840657,5.89709565,8.997135081,4.144646405,10.57694344,16.00375417,15.19048561,10.70187704,11.48108909,15.57983022,8.976005142,9.581829713,12.96286057,19.79675166,22.3703297,22.99684856
18,1,5.077822185,10.78303338,4.056148278,5.721275206,8.462712114,4.110275853,10.15232569,15.51472989,15.12754267,10.40884508,10.74559861,15.57983022,8.442817508,9.581829713,12.65686002,19.79675166,22.32762902,22.99684856
19,1,4.914208112,10.33506961,4.036985605,5.632936234,7.958711382,4.015983927,9.612941603,14.7935296,14.47442156,10.58444429,10.49919074,15.57983022,8.103923182,9.166581857,12.35543352,19.36920457,22.61888427,23.2750945
20,1,4.756025775,9.907320051,3.99826973,5.239543481,7.910219957,3.942457769,9.176982472,14.27215368,14.11535482,10.34564284,9.685279686,15.07770372,8.060943124,8.732491212,12.05882353,18.68514638,22.32762902,22.99684856
21,1,4.551043214,9.887844836,3.751909772,4.956687729,7.716882796,3.813925057,8.482760933,14.21248173,13.6637886,9.919457286,9.528340041,14.67293119,7.769584321,8.31674285,12.35294118,18.41885793,22.03643575,22.99684856
22,1,4.503232013,9.801134981,3.70404779,4.734919923,7.386564496,3.848005269,8.184395231,14.20985631,13.29238638,9.680671855,9.528340041,15.07770372,7.523334621,7.901007176,12.05882353,17.23070292,21.78893538,22.99684856
23,1,4.373558136,9.328863873,3.6454925,4.51443439,7.22514387,3.766959728,7.736859328,14.33553387,12.85776873,9.109914482,9.933532088,14.26863453,7.523334621,7.688032124,11.47321408,17.36067977,21.49835145,22.99684856
24,1,4.13549309,9.155127942,3.672101482,4.383214459,7.080109939,3.747219034,7.530657522,14.19631502,12.74928913,8.6272482,9.528340041,13.71522149,7.864075134,7.272144732,11.47058824,17.23070292,21.20784636,22.90244994
25,1,3.842656964,8.838604977,3.661961393,4.322702589,7.072083416,3.714402518,6.986045729,13.19192397,12.33050838,8.344370072,9.528340041,13.31340009,7.523334621,7.069579135,11.17914416,17.23070292,19.95670992,22.62358202
26,1,3.710132235,8.726366569,3.710054644,3.953835746,6.870545564,3.606396993,6.567347886,12.85301332,11.54089192,8.324080916,9.123773181,12.65686002,6.943494414,7.069579135,10.88507602,16.83811151,19.66558338,22.62358202
27,1,3.545323014,8.635824766,3.854113661,3.702750719,6.814518728,3.606396993,6.194605172,12.30568563,11.04559356,8.237505988,9.375705188,12.65686002,6.653889857,6.653889857,10.89324245,16.44640056,19.04220626,22.44134985
28,1,3.444365559,8.207630495,3.854113661,3.538458129,6.282173441,3.29352719,6.073132518,11.77502263,10.33223411,7.878799463,9.083905757,12.00040708,6.36451711,6.440382552,10.59933012,15.39828339,18.75079674,22.44134985
29,1,3.444365559,8.242645017,3.854113661,3.129742576,6.024508714,3.293714936,6.073132518,11.33794512,9.424060715,7.621992564,9.123773181,11.74663629,5.786541659,6.238219514,10.29694544,14.86546446,18.42070477,22.44134985
30,1,3.423531466,8.122937399,3.788970995,2.95755875,5.718620771,3.418395166,6.010390571,10.85514494,9.020072665,7.559987165,9.123773181,11.49420576,5.734286818,6.238219514,10,14.47405336,18.128945,22.16411739
31,1,3.388236454,7.933272616,3.788970995,2.802618993,5.565744086,3.279816624,6.010390571,10.552183,8.502245033,7.45192794,8.951224971,11.15238849,5.107553104,5.82257029,9.705882353,13.42641777,17.76896145,22.06681468
32,1,3.348179178,7.400157585,3.614167582,2.756935606,5.347763114,3.171056068,5.868197383,9.962449796,8.300493005,7.225415901,9.120710452,10.49919074,5.068966334,5.82257029,9.414765594,13.03735071,17.21707937,21.78893538
33,1,3.222482156,7.190386258,3.614167582,2.48257363,5.001184571,3.221626147,5.634717327,9.755732828,8.191708918,6.009302802,8.710425907,9.846387605,4.776923611,5.608640469,9.120710452,12.76918526,16.54298833,21.69350581
34,1,3.186980787,6.952124397,3.73042491,2.40131149,4.961382567,3.124809761,5.076952094,9.021846456,8.036758946,5.719887773,8.710425907,9.438750245,4.816658393,5.406944714,8.823529412,12.64950963,15.95678533,21.13678419
35,1,3.116011797,6.952124397,3.682444494,2.200584956,4.508004682,2.9997561,5.138030463,8.531629898,7.587320534,5.506600698,8.133596213,9.194033544,4.816658393,5.406944714,8.238561688,11.99277274,15.9835988,21.13678419
36,1,2.96446069,6.692971664,3.608652649,2.045819996,4.210024336,2.937209734,5.045312563,8.432903162,7.221597884,5.293788978,8.378312254,8.951224971,5.107553104,5.406944714,7.944518285,11.45482439,15.07770372,20.76343
37,1,2.696478462,6.286408896,3.608652649,1.954603719,4.124005795,2.659898096,5.013864861,7.899605319,6.813937026,5.274893348,8.064254303,8.710425907,5.107553104,5.192778501,7.944518285,11.06647092,14.76067886,20.4849165
38,1,2.652447903,6.095094185,3.619904789,1.845482491,3.810793642,2.349999412,4.968383797,7.992604291,6.817894472,5.165919764,7.660731324,8.235294118,4.776923611,5.406944714,7.677801213,10.67953287,13.88088688,19.92896482
39,1,2.58904037,5.896255031,3.619904789,1.736101788,3.774372877,2.425819878,4.952308421,8.040593323,6.968954138,5.229937653,8.064254303,8.001197709,4.776923611,5.406944714,7.650478334,10.02305034,13.58767683,19.37452865
40,1,2.623868967,5.918421063,3.619904789,1.690648189,3.50079321,2.378589256,4.672991906,8.039485476,6.939951321,5.263656145,7.660731324,7.769584321,4.816658393,5.20973821,7.356442081,9.91034336,12.70822732,18.8217138
41,1,2.614910507,5.756283985,3.619904789,1.554032661,3.26366844,2.471976353,4.610812867,8.039485476,6.71000806,5.437815441,7.512969051,7.588785035,5.068966334,5.20973821,7.073162207,9.699998823,12.41514276,18.27063582
42,1,2.374417167,5.538333297,3.619904789,1.36317108,3.087020706,2.518620357,4.440859849,8.137352941,6.743071203,5.370906409,7.512969051,7.769584321,5.068966334,5.20973821,6.779402585,9.602578338,11.82908177,17.99578719
43,1,2.338681025,5.444282885,3.454283736,1.253931483,3.087020706,2.396207348,4.394735923,8.284502568,6.715975467,5.413400412,7.813541712,7.769584321,5.068966334,5.431851677,6.180339887,9.602578338,11.82908177,17.72142108
44,1,2.302955095,5.388245195,3.44331234,1.099058928,2.837894695,2.366850896,4.318437921,8.284502568,6.823883844,5.340763598,7.813541712,8.001197709,4.74590678,5.624936393,6.180339887,9.790930542,11.82908177,17.44755518
45,1,1.83032433,5.388245195,3.44331234,1.007852416,2.730097164,2.246415944,4.272479363,8.284502568,6.763249502,5.271377779,7.72547509,8.001197709,4.485009116,5.20973821,6.470588235,9.510466334,11.24317797,16.90139905
