time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
30,1,2.764928696,8.0244646,1.477269278,7.11607643,6.81240331,5.47323166,8.23529412,4.921839878,1.056253024,19.28386053,16.71297509,14.76724423,11.59876595
31,1,2.764928696,8.0244646,1.470588235,7.11607643,6.44038255,5.24357339,8.30049301,4.921839878,1.056253024,18.88698883,16.71297509,14.75848992,10.79770471
32,1,2.764928696,8.0244646,1.470588235,7.11607643,6.44038255,5.43185168,8.30049301,4.921839878,1.056253024,18.88698883,16.96647335,14.75848992,10.6878063
33,1,2.764928696,8.0244646,1.477269278,7.11607643,6.16097998,5.43185168,8.30049301,4.921839878,0.91900347,19.46662864,16.44034937,14.34256829,9.93353209
34,1,2.764928696,7.99454237,1.477269278,7.11607643,6.16097998,5.43185168,8.13359621,4.921839878,0.91900347,19.17675683,16.30881845,14.15155364,9.93353209
35,1,2.764928696,7.99454237,1.183469424,7.11607643,6.25744659,5.43185168,8.13359621,4.865005783,0.793445766,18.93944205,16.30881845,13.73600977,10.09199013
36,1,2.764928696,7.99454237,1.183469424,6.82338308,6.25744659,5.0172861,7.97122181,4.575776821,0.525968891,18.65042411,16.17851297,13.30631332,10.09199013
37,1,2.764928696,8.0244646,1.183469424,6.82338308,6.25744659,5.0172861,7.97122181,4.575776821,0.793445766,18.41885793,16.44034937,12.88564211,10.09199013
38,1,2.764928696,8.31674285,1.183469424,6.82338308,6.25744659,5.0172861,7.97122181,4.575776821,0.793445766,18.13081499,16.57508816,13.0948099,10.25447351
39,1,2.647058824,8.31674285,1.204418562,6.82338308,5.98126747,5.24357339,8.13359621,4.575776821,0.793445766,18.13081499,16.31490698,12.89047803,9.93353209
40,1,2.647058824,8.28747882,1.204418562,6.85626139,5.98126747,5.0172861,8.13359621,4.575776821,0.525968891,17.84292687,16.45446615,13.30631332,10.09199013
41,1,2.647058824,8.28747882,1.183469424,6.85626139,6.16097998,5.0603714,8.13359621,4.634317267,0.680355269,17.90532644,16.31490698,13.51072821,9.93353209
42,1,2.647058824,8.28747882,1.204418562,6.8963226,6.16097998,5.0172861,8.13359621,4.634317267,0.40728715,17.97132258,16.05561921,13.30158728,9.93353209
43,1,2.647058824,8.28747882,1.183469424,6.8963226,6.16097998,5.0172861,8.13359621,4.634317267,0.680355269,17.68522376,15.79725827,13.0948099,9.68527969
44,1,2.91936001,8.28747882,1.183469424,6.8963226,6.16097998,5.0172861,8.13359621,4.634317267,0.680355269,17.39933266,15.79725827,13.0948099,9.68527969
45,1,2.91936001,8.28747882,1.204418562,6.94349441,6.16097998,4.829867628,7.97122181,4.634317267,0.680355269,17.04509377,15.53985913,12.89047803,9.68527969
46,1,2.91936001,8.26467328,1.204418562,6.94349441,6.16097998,4.602839834,7.97122181,4.575776821,0.680355269,16.98025223,15.14008037,12.89047803,9.43875025
47,1,2.91936001,8.26467328,0.889701293,6.94349441,6.16097998,5.0172861,7.81354171,4.575776821,0.580489989,17.20734315,14.60245024,12.47464797,9.43875025
48,1,3.193169575,8.28747882,1.183469424,6.94349441,6.16097998,5.0172861,7.81354171,4.575776821,0.580489989,16.80838225,14.33585872,12.47464797,9.19403354
49,1,2.91936001,8.28747882,1.183469424,6.94349441,6.44038255,4.794603415,8.0642543,4.575776821,0.580489989,16.80838225,14.33585872,12.26297717,8.78593135
50,1,2.91936001,8.28747882,1.183469424,6.94349441,6.44038255,4.794603415,7.81354171,4.921839878,0.860252602,16.46857364,13.94263787,12.46969695,9.03160052
51,1,2.647058824,8.28747882,1.183469424,6.94349441,6.35309357,4.829867628,8.0642543,4.921839878,0.860252602,16.46857364,13.81663477,12.26297717,8.87350166
52,1,2.647058824,8.26467328,1.183469424,6.99769297,6.27280465,4.829867628,8.21894415,4.921839878,0.860252602,15.59873682,13.55040827,12.05375178,8.87350166
53,1,2.647058824,8.26467328,1.183469424,6.99769297,6.27280465,4.647776157,7.81354171,4.865005783,0.860252602,15.55038538,13.42641777,11.84706293,8.46853311
54,1,2.376433061,7.97122181,1.183469424,7.05882353,6.27280465,4.647776157,7.81354171,4.865005783,0.860252602,15.25998835,13.15923417,11.63780662,8.87350166
55,1,2.764928696,7.97122181,1.183469424,7.05882353,6.27280465,5.0603714,7.81354171,4.575776821,0.580489989,15.21510621,13.03735071,11.43115026,8.71988681
56,1,2.376433061,7.97122181,1.183469424,7.05882353,6.19966633,4.829867628,7.81354171,4.575776821,0.494571086,14.88287504,12.64950963,11.01523928,8.57090823
57,1,2.764928696,7.99454237,1.183469424,7.05882353,6.19966633,4.829867628,7.81354171,4.575776821,0.778494913,14.88287504,12.53395125,11.2271932,8.57090823
58,1,2.764928696,7.99454237,1.176470588,7.05882353,6.19966633,5.0603714,7.81354171,4.575776821,0.778494913,14.55384722,12.42259202,11.2271932,8.16977246
59,1,2.498558108,7.99454237,1.176470588,7.05882353,5.91410313,5.0603714,7.56471139,4.575776821,0.778494913,14.22818721,12.31551298,11.2271932,8.16977246
60,1,2.498558108,7.99454237,1.176470588,7.12678125,5.91410313,4.88252801,7.56471139,4.575776821,0.494571086,14.19892226,12.31551298,11.0260385,8.16977246
61,1,2.498558108,7.99454237,1.183469424,7.12678125,6.19966633,4.88252801,7.56471139,4.286854943,0.494571086,13.88088688,12.04106581,11.0260385,8.16977246
62,1,2.498558108,7.99454237,1.183469424,7.12678125,6.19966633,4.88252801,7.56471139,4.286854943,0.494571086,13.88088688,11.93668241,11.24317797,8.31674285
63,1,2.498558108,7.97122181,1.176470588,7.12678125,6.19966633,5.0603714,7.56471139,4.286854943,0.494571086,14.15381195,11.93668241,11.24317797,8.31674285
64,1,2.63007163,7.99454237,1.176470588,7.12678125,6.19966633,5.0603714,7.56471139,4.286854943,0.302281287,13.83271835,11.6611871,11.04761514,8.16977246
65,1,2.63007163,7.99454237,1.176470588,6.84166008,6.19966633,5.29411765,7.56471139,4.286854943,0.302281287,13.82582707,11.76728566,11.04761514,8.16977246
66,1,2.63007163,7.99454237,1.176470588,6.84166008,6.19966633,5.29411765,7.56471139,4.286854943,0.40728715,13.53174588,11.76728566,11.04761514,8.31674285
67,1,2.63007163,7.99454237,1.176470588,6.84166008,6.19966633,5.29411765,7.72547509,4.286854943,0.40728715,13.23766588,11.76728566,11.24317797,8.31674285
68,1,2.63007163,7.99454237,1.176470588,6.91811741,6.19966633,5.12038267,7.72547509,4.286854943,0.40728715,13.23766588,11.60658143,11.24317797,8.16977246
69,1,2.892004626,7.70166052,1.176470588,7.12678125,6.19966633,5.12038267,7.72547509,4.235481452,0.40728715,13.24477932,11.60658143,11.24317797,8.16977246
