consecutive,period,fold,cor,mae,rmse,no_perfect,no_data,no_data_full
1,13,1.1,0.734804002772291,6.4488188976378,8.34822815846733,7,127,127
2,13,1.1,0.803817254424816,4.13385826771654,6.20071116063616,42,127,127
3,13,1.1,0.844077326590886,2.42857142857143,4.54082014828243,59,126,127
4,13,1.1,0.813168319681927,2.45901639344262,4.8026631956126,58,122,127
5,13,1.1,0.8074367291075,3.06086956521739,5.73471503404826,51,115,127
1,14,1.1,0.732084700337212,6.60629921259843,8.48388931756868,7,127,127
2,14,1.1,0.802646052574835,4.26771653543307,6.29210228628734,40,127,127
3,14,1.1,0.834625709248901,2.53174603174603,4.68618367761204,58,126,127
4,14,1.1,0.801699782194862,2.5655737704918,4.94477700934341,57,122,127
5,14,1.1,0.797107244152589,3.16521739130435,5.83393371651544,50,115,127
1,15,1.1,0.738686509284906,6.86614173228347,8.64523900654661,6,127,127
2,15,1.1,0.813483482206648,4.23622047244094,6.23174499392356,41,127,127
3,15,1.1,0.834625709248901,2.53174603174603,4.68618367761204,58,126,127
4,15,1.1,0.814290459966089,2.47107438016529,4.79927680502382,57,121,127
5,15,1.1,0.805113119180465,3.07894736842105,5.73921566864568,50,114,127
1,1,1.2,0.34090666882695,8.18110236220472,11.1986360249317,17,127,127
2,1,1.2,0.434050264581869,5.24409448818898,9.02053649957459,52,127,127
3,1,1.2,0.769284853074519,3.03937007874016,5.97105880954849,65,127,127
4,1,1.2,0.799069608755096,2.52459016393443,5.07161823044774,63,122,127
5,1,1.2,0.786343909338606,3.0695652173913,6.0813328058619,56,115,127
1,2,1.2,0.501367297945307,6.32283464566929,9.43898766759319,30,127,127
2,2,1.2,0.533740051297438,5.24409448818898,8.60781552944627,43,127,127
3,2,1.2,0.77693777098676,3.10236220472441,6,59,127,127
4,2,1.2,0.793367781969709,2.68032786885246,5.15894893349029,56,122,127
5,2,1.2,0.782258487856781,3.2695652173913,6.22058294486241,49,115,127
1,3,1.2,0.615833609892258,5.20472440944882,8.27528337645484,31,127,127
2,3,1.2,0.635766252634708,4.06299212598425,7.44533886845601,53,127,127
3,3,1.2,0.775671807014615,3.09448818897638,5.99540506469444,58,127,127
4,3,1.2,0.785340222777711,2.72131147540984,5.20718293306089,56,122,127
5,3,1.2,0.796385024344304,3.21739130434783,5.94759724960242,49,115,127
1,4,1.2,0.668950563200654,4.66141732283465,7.60956712376096,32,127,127
2,4,1.2,0.702271319308929,3.71653543307087,6.7707104269079,54,127,127
3,4,1.2,0.795581536874977,2.73228346456693,5.6561582354326,63,127,127
4,4,1.2,0.79191755526606,2.68852459016393,5.16291949432858,56,122,127
5,4,1.2,0.796920519877743,3.24347826086957,5.93955056124327,49,115,127
1,5,1.2,0.724714530673875,4.62204724409449,7.17003827178751,25,127,127
2,5,1.2,0.755720738041229,3.38582677165354,6.202615653487,54,127,127
3,5,1.2,0.824692237329561,2.3968253968254,4.77426966075973,63,126,127
4,5,1.2,0.79536161620103,2.66393442622951,5.14940709622214,57,122,127
5,5,1.2,0.793014007573148,3.19130434782609,5.91901872008322,50,115,127
1,6,1.2,0.73167003230295,4.88976377952756,7.27794640932508,17,127,127
2,6,1.2,0.800315254933553,3.36220472440945,5.79913107800147,50,127,127
3,6,1.2,0.843200885178026,2.46825396825397,4.54518758234797,59,126,127
4,6,1.2,0.816823634247431,2.59016393442623,4.8552827406654,56,122,127
5,6,1.2,0.816697841417111,3.14782608695652,5.64608367539529,49,115,127
1,7,1.2,0.732662245242455,4.99212598425197,7.35810656918372,15,127,127
2,7,1.2,0.792072910766838,3.40157480314961,5.86998236056854,49,127,127
3,7,1.2,0.850815553012346,2.4047619047619,4.38883865753855,59,126,127
4,7,1.2,0.812785209635433,2.59836065573771,4.86792782521222,57,122,127
5,7,1.2,0.815258183446561,3.08695652173913,5.58803068679135,50,115,127
1,8,1.2,0.742601468994394,5.37007874015748,7.47489235695281,8,127,127
2,8,1.2,0.77693812277284,3.66929133858268,6.09504768637725,46,127,127
3,8,1.2,0.845655452852182,2.50793650793651,4.46503168370706,57,126,127
4,8,1.2,0.816423677322927,2.58196721311475,4.85443856388067,57,122,127
5,8,1.2,0.797783924487833,3.17391304347826,5.94978991225741,50,115,127
1,9,1.2,0.781170192469668,5.33070866141732,7.23236383308896,10,127,127
2,9,1.2,0.821448609592865,3.39370078740158,5.61704380456145,47,127,127
3,9,1.2,0.870463858632654,2.23015873015873,4.07567308687916,60,126,127
4,9,1.2,0.828659641816949,2.40983606557377,4.56465393800784,58,122,127
5,9,1.2,0.799812020056783,3.16521739130435,5.90799016807636,50,115,127
1,10,1.2,0.777922421660155,5.65354330708661,7.48962537040247,9,127,127
2,10,1.2,0.822806046266688,3.56692913385827,5.72258957955775,46,127,127
3,10,1.2,0.865516883010471,2.36507936507937,4.19750492781696,58,126,127
4,10,1.2,0.829967835021223,2.4672131147541,4.61909791775088,57,122,127
5,10,1.2,0.799812020056783,3.16521739130435,5.90799016807636,50,115,127
1,11,1.2,0.782805543518476,5.93700787401575,7.67345357474583,8,127,127
2,11,1.2,0.854387828267694,3.70866141732283,5.48943150678798,44,127,127
3,11,1.2,0.857726468726455,2.3968253968254,4.31865646362311,59,126,127
4,11,1.2,0.823953388505615,2.48360655737705,4.63680924774785,57,122,127
5,11,1.2,0.812287675840425,3.10434782608696,5.64993266600893,50,115,127
1,12,1.2,0.776424545998566,5.99212598425197,7.75257132858024,8,127,127
2,12,1.2,0.852920591239419,3.71653543307087,5.5101909880157,45,127,127
3,12,1.2,0.866670978977092,2.34920634920635,4.21448748508105,59,126,127
4,12,1.2,0.835530199302712,2.37704918032787,4.48494750229706,58,122,127
5,12,1.2,0.825613595277542,2.98260869565217,5.48595043487572,51,115,127
1,13,1.2,0.76757974527479,6.10236220472441,7.89348380717749,7,127,127
2,13,1.2,0.834272144968504,3.88188976377953,5.76781731120474,43,127,127
3,13,1.2,0.876494859608325,2.24603174603175,4.05223826059561,60,126,127
4,13,1.2,0.835530199302712,2.37704918032787,4.48494750229706,58,122,127
5,13,1.2,0.824082187175346,2.99130434782609,5.51834883937609,51,115,127
1,14,1.2,0.821514137571733,6.18897637795276,7.60335607623681,7,127,127
2,14,1.2,0.835827120667029,4.02362204724409,5.83702545323663,41,127,127
3,14,1.2,0.867581032242221,2.38888888888889,4.21166181430742,58,126,127
4,14,1.2,0.825499826516449,2.47540983606557,4.61465946384055,57,122,127
5,14,1.2,0.825613595277542,2.98260869565217,5.48595043487572,51,115,127
1,15,1.2,0.809159583810952,6.40944881889764,7.86300016873606,7,127,127
2,15,1.2,0.82079311992078,4.14173228346457,6.09763088110495,41,127,127
3,15,1.2,0.834625709248901,2.53174603174603,4.68618367761204,58,126,127
4,15,1.2,0.814290459966089,2.47107438016529,4.79927680502382,57,121,127
5,15,1.2,0.805113119180465,3.07894736842105,5.73921566864568,50,114,127
1,1,1.3,0.366899680261422,8.02362204724409,10.9914068081409,19,127,127
2,1,1.3,0.450972938936346,5.16535433070866,8.86735142304863,52,127,127
3,1,1.3,0.780335619403314,2.86614173228346,5.8106608511906,67,127,127
4,1,1.3,0.79941906104446,2.50819672131148,5.06838481078183,64,122,127
5,1,1.3,0.787120307122584,3.05217391304348,6.07847234812798,57,115,127
1,2,1.3,0.519077928598149,6.23622047244094,9.30582748587413,32,127,127
2,2,1.3,0.552684323689668,5.20472440944882,8.4699561675557,43,127,127
3,2,1.3,0.777187559412748,3.10236220472441,5.99343472831061,58,127,127
4,2,1.3,0.793933826909374,2.68032786885246,5.15099862990138,55,122,127
5,2,1.3,0.781881796950817,3.23478260869565,6.23594070864526,49,115,127
1,3,1.3,0.625772223686529,4.92913385826772,8.07640677880287,34,127,127
2,3,1.3,0.645454961649557,3.77165354330709,7.26278400450288,59,127,127
3,3,1.3,0.780801747917301,3.00787401574803,5.9538910720333,60,127,127
4,3,1.3,0.792956418708725,2.69672131147541,5.1827266701713,56,122,127
5,3,1.3,0.785776516476497,3.22608695652174,6.16793954743961,50,115,127
1,4,1.3,0.695400112706627,4.45669291338583,7.30009168316927,32,127,127
2,4,1.3,0.732605854789643,3.48031496062992,6.40865556429212,55,127,127
3,4,1.3,0.833250596023936,2.45238095238095,4.66411494862297,62,126,127
4,4,1.3,0.813802943899488,2.59836065573771,4.8645590166252,56,122,127
5,4,1.3,0.803302876193198,3.21739130434783,5.95344255543543,49,115,127
1,5,1.3,0.730371784717498,4.54330708661417,7.07607703051149,25,127,127
2,5,1.3,0.785410308667345,3.17322834645669,5.88806346251318,55,127,127
3,5,1.3,0.824692237329561,2.3968253968254,4.77426966075973,63,126,127
4,5,1.3,0.790262986848021,2.73770491803279,5.29769513755669,57,122,127
5,5,1.3,0.790140889201424,3.20869565217391,5.97894857704568,50,115,127
1,6,1.3,0.740510349161291,4.62204724409449,7.06716929822427,20,127,127
2,6,1.3,0.801769482076541,3.31496062992126,5.77191134979751,51,127,127
3,6,1.3,0.845931712245259,2.3968253968254,4.50220404578039,61,126,127
4,6,1.3,0.817860136695057,2.62295081967213,4.87549913375838,56,122,127
5,6,1.3,0.818119795970393,3.09565217391304,5.61829310300774,50,115,127
1,7,1.3,0.764211827959359,4.7244094488189,6.95995293675825,16,127,127
2,7,1.3,0.792305626635777,3.2755905511811,5.78349538753493,50,127,127
3,7,1.3,0.85329113733045,2.37301587301587,4.35980922838793,59,126,127
4,7,1.3,0.81411047690639,2.63934426229508,4.888930286296,56,122,127
5,7,1.3,0.819550098005749,3.08695652173913,5.58803068679135,50,115,127
1,8,1.3,0.757346692562318,5.10236220472441,7.17388088339456,10,127,127
2,8,1.3,0.778957958200967,3.4251968503937,5.93733681914181,48,127,127
3,8,1.3,0.849321779849345,2.44444444444444,4.39335717892221,57,126,127
4,8,1.3,0.821239838809104,2.51639344262295,4.78642205259563,57,122,127
5,8,1.3,0.800968609515693,3.22608695652174,5.97603911284564,49,115,127
1,9,1.3,0.785139683572459,5.18110236220472,7.10550413245802,11,127,127
2,9,1.3,0.824967112645316,3.28346456692913,5.53087255151503,48,127,127
3,9,1.3,0.873276010206652,2.18253968253968,4.04046987680849,61,126,127
4,9,1.3,0.834598450531233,2.39344262295082,4.54666153870518,58,122,127
5,9,1.3,0.799812020056783,3.16521739130435,5.90799016807636,50,115,127
1,10,1.3,0.800536076835231,5.46456692913386,7.15409689354322,9,127,127
2,10,1.3,0.868275645622324,3.22834645669291,5.01493831459696,48,127,127
3,10,1.3,0.864341286058274,2.36507936507937,4.19182878603463,58,126,127
4,10,1.3,0.834598450531233,2.39344262295082,4.54666153870518,58,122,127
5,10,1.3,0.828418368694229,2.94736842105263,5.32290647422377,50,114,127
1,11,1.3,0.797322393650912,5.73228346456693,7.42309653747844,9,127,127
2,11,1.3,0.865226199424512,3.51181102362205,5.2676400309876,46,127,127
3,11,1.3,0.876282501550808,2.23809523809524,4.0178174601215,60,126,127
4,11,1.3,0.835530199302712,2.37704918032787,4.48494750229706,58,122,127
5,11,1.3,0.840239228894667,2.83333333333333,5.18178320590339,51,114,127
1,12,1.3,0.777027680802869,5.90551181102362,7.67345357474583,7,127,127
2,12,1.3,0.8531929733467,3.62204724409449,5.44695248176287,46,127,127
3,12,1.3,0.864384044840598,2.35714285714286,4.22483210899633,59,126,127
4,12,1.3,0.835530199302712,2.37704918032787,4.48494750229706,58,122,127
5,12,1.3,0.761292473971957,3.22608695652174,6.83023966732087,51,115,127
1,13,1.3,0.803830247546149,5.8503937007874,7.45749108134542,7,127,127
2,13,1.3,0.845266130061725,3.7244094488189,5.56068879209399,44,127,127
3,13,1.3,0.876494859608325,2.24603174603175,4.05223826059561,60,126,127
4,13,1.3,0.828309490526141,2.45081967213115,4.65445318230074,58,122,127
5,13,1.3,0.840239228894667,2.83333333333333,5.18178320590339,51,114,127
1,14,1.3,0.868455658285569,5.66929133858268,6.84703510753228,8,127,127
2,14,1.3,0.867287467300803,3.62992125984252,5.29968057275421,44,127,127
3,14,1.3,0.8772975629195,2.28571428571429,4.0473389258811,59,126,127
4,14,1.3,0.85233533614189,2.27868852459016,4.30592424533426,58,122,127
5,14,1.3,0.824082187175346,2.99130434782609,5.51834883937609,51,115,127
1,15,1.3,0.862097533577687,5.76377952755906,6.97803076704501,9,127,127
2,15,1.3,0.859439784077633,3.74803149606299,5.46138916884187,43,127,127
3,15,1.3,0.884473402073205,2.23015873015873,3.9309516598886,59,126,127
4,15,1.3,0.854597368817728,2.26446280991736,4.22311623612252,57,121,127
5,15,1.3,0.840893196260258,2.86842105263158,5.26907562051797,50,114,127
1,1,1.4,0.36441001569674,7.96850393700787,10.9602000096699,19,127,127
2,1,1.4,0.451221017524962,5.1496062992126,8.85313236972686,52,127,127
3,1,1.4,0.783860483158782,2.77952755905512,5.70881346525724,67,127,127
4,1,1.4,0.799413921931419,2.54098360655738,5.07807889323331,63,122,127
5,1,1.4,0.774149283154709,3.29565217391304,6.52286946726335,56,115,127
1,2,1.4,0.539088042552966,5.85826771653543,9.0030615964924,38,127,127
2,2,1.4,0.564132835851559,4.97637795275591,8.29476639853704,48,127,127
3,2,1.4,0.775468793678643,3.09448818897638,6.00065613210323,60,127,127
4,2,1.4,0.795365279122083,2.63934426229508,5.1406448533425,57,122,127
5,2,1.4,0.783991101826548,3.19130434782609,6.22687024463159,51,115,127
1,3,1.4,0.63445978827981,4.60629921259843,7.81528887229899,36,127,127
2,3,1.4,0.65047862518429,3.63779527559055,7.14638832850079,59,127,127
3,3,1.4,0.787854983261427,2.89763779527559,5.82149154251104,60,127,127
4,3,1.4,0.793561681546601,2.69672131147541,5.18114488265692,55,122,127
5,3,1.4,0.785773291434674,3.24347826086957,6.21149005437924,49,115,127
1,4,1.4,0.700480611588809,4.36220472440945,7.23399672804856,33,127,127
2,4,1.4,0.737030728813602,3.44094488188976,6.3562233128761,55,127,127
3,4,1.4,0.832269016962092,2.49206349206349,4.69379867822918,62,126,127
4,4,1.4,0.814290481504795,2.63934426229508,4.89395746529648,56,122,127
5,4,1.4,0.800664103304126,3.23478260869565,6.01158302236463,49,115,127
1,5,1.4,0.744821900768953,4.2992125984252,6.79161131484779,28,127,127
2,5,1.4,0.80472136192022,3.01574803149606,5.58893732944296,56,127,127
3,5,1.4,0.84521534262464,2.36507936507937,4.49691252107735,62,126,127
4,5,1.4,0.812041498015877,2.70491803278689,5.04081700377764,56,122,127
5,5,1.4,0.812409005176101,3.17391304347826,5.73850457720552,49,115,127
1,6,1.4,0.745511742636998,4.49606299212598,6.93672186527761,21,127,127
2,6,1.4,0.801117183039012,3.22834645669291,5.72465313737934,53,127,127
3,6,1.4,0.84613033011469,2.34126984126984,4.46592033565809,62,126,127
